Artist,Album,Track,Song_Length_Sec
Marcos Valle,Afrociberdelia,Baião Ambiental [Instrumental],152
Marcos Valle,Afrociberdelia,Etnia,152
Titãs,Seek And Shall Find: More Of The Best (1963-1981),When I Had Your Love,152
Academy of St. Martin in the Fields & Sir Neville Marriner,The Doors,Twentienth Century Fox,153
Fernanda Porto,International Superhits,Good Riddance (Time Of Your Life),153
Frank Zappa & Captain Beefheart,Minha Historia,Gota D'água,153
London Symphony Orchestra & Sir Charles Mackerras,Serie Sem Limite (Disc 2),O Que Me Importa,153
Orchestra of The Age of Enlightenment,B-Sides 1980-1990,"Trash, Trampoline And The Party Girl",153
Pink Floyd,Are You Experienced?,Can You See Me,153
The Who,Misplaced Childhood,Lavender,153
Academy of St. Martin in the Fields & Sir Neville Marriner,The Doors,The Crystal Ship,154
Funk Como Le Gusta,Quanta Gente Veio Ver (Live),Introdução (Live),154
Green Day,"Chronicle, Vol. 1",Green River,154
Otto,New Adventures In Hi-Fi,Zither,154
Battlestar Galactica (Classic),Milton Nascimento Ao Vivo,Brasil,155
Elis Regina,Meus Momentos,Eu Apenas Queria Que Voçê Soubesse,155
Falamansa,My Way: The Best Of Frank Sinatra [Disc 1],Strangers In The Night,155
Les Arts Florissants & William Christie,House of Pain,House Of Pain Anthem,155
Pedro Luís & A Parede,Garage Inc. (Disc 1),Free Speech For The Dumb,155
Battlestar Galactica (Classic),Milton Nascimento Ao Vivo,Solar,156
Dhani Harrison & Jakob Dylan,Nevermind,Lounge Act,156
"Herbert Von Karajan, Mirella Freni & Wiener Philharmoniker",Volume Dois,Senhor Delegado/Eu Não Aguento,156
James Brown,Use Your Illusion I,You Ain't the First,156
Various Artists,Prenda Minha,Drão,156
Wilhelm Kempff,The Singles,English Civil War,156
Yehudi Menuhin,Instant Karma: The Amnesty International Campaign to Save Darfur,Isolation,156
"Academy of St. Martin in the Fields, Sir Neville Marriner & William Bennett",War,"""40""",157
Faith No More,The Colour And The Shape,Enough Space,157
Nando Reis,Chill: Brazil (Disc 2),Eu Vim Da Bahia - Live,157
Passengers,Emergency On Planet Earth,Didgin' Out,157
Rush,Coda,We're Gonna Groove,157
Sir Georg Solti & Wiener Philharmoniker,My Generation - The Very Best Of The Who,I'm A Boy,157
Stereo Maracana,Californication,I Like Dirt,157
Vinícius De Moraes & Baden Powell,Elis Regina-Minha História,Madalena,157
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",Serie Sem Limite (Disc 1),Música No Ar,158
Barry Wordsworth & BBC Concert Orchestra,Acústico,Palavras,158
Berliner Philharmoniker & Herbert Von Karajan,Ao Vivo [IMPORT],Sem Essa de Malandro Agulha,158
Choir Of Westminster Abbey & Simon Preston,Van Halen,You Really Got Me,158
Christina Aguilera featuring BigElf,Ace Of Spades,Dance,158
Creedence Clearwater Revival,King For A Day Fool For A Lifetime,What A Day,158
Falamansa,My Way: The Best Of Frank Sinatra [Disc 1],Something Stupid,158
Fernanda Porto,International Superhits,Poprocks And Coke,158
House Of Pain,Riot Act,Get Right,158
Nação Zumbi,Cesta Básica,Cajueiro,158
Avril Lavigne,Olodum,Denúncia,159
London Symphony Orchestra & Sir Charles Mackerras,Serie Sem Limite (Disc 2),A Festa Do Santo Reis,159
Stevie Ray Vaughan & Double Trouble,Led Zeppelin II,Living Loving Maid (She's Just A Woman),159
Tim Maia,Barulhinho Bom,Bem Leve,159
Wilhelm Kempff,The Singles,I Fought The Law,159
Yehudi Menuhin,Instant Karma: The Amnesty International Campaign to Save Darfur,"Oh, My Love",159
Youssou N'Dour,Arquivo II,Lourinha Bombril,159
Christina Aguilera featuring BigElf,Ace Of Spades,Shoot You In The Back,160
Corinne Bailey Rae,From The Muddy Banks Of The Wishkah [Live],School,160
Green Day,"Chronicle, Vol. 1",Have You Ever Seen The Rain?,160
Mundo Livre S/A,Green,Get Up,160
Aaron Goldberg,Rotten Apples: Greatest Hits,Zero,161
Black Eyed Peas,Arquivo Os Paralamas Do Sucesso,Perplexo,161
Black Sabbath,BackBeat Soundtrack,Twist And Shout,161
Falamansa,My Way: The Best Of Frank Sinatra [Disc 1],They Can't Take That Away From Me,161
House Of Pain,Riot Act,Green Disease,161
Jackson Browne,Compositores,Folhas Secas,161
James Brown,Use Your Illusion I,Garden of Eden,161
Jorge Vercilo,BBC Sessions [Disc 1] [Live],Communication Breakdown(2),161
Regina Spektor,Live On Two Legs [Live],Go,161
Sir Georg Solti & Wiener Philharmoniker,My Generation - The Very Best Of The Who,"Anyway, Anyhow, Anywhere",161
Sir Georg Solti & Wiener Philharmoniker,My Generation - The Very Best Of The Who,Squeeze Box,161
Titãs,Seek And Shall Find: More Of The Best (1963-1981),No Good Without You,161
Big & Rich,Acústico MTV,Manguetown,162
Frank Zappa & Captain Beefheart,Minha Historia,Samba De Orly,162
Green Day,"Chronicle, Vol. 1",Commotion,162
Green Day,"Chronicle, Vol. 1",Hey Tonight,162
Green Day,"Chronicle, Vol. 1",Up Around The Bend,162
Kiss,Vinícius De Moraes - Sem Limite,Carta Ao Tom 74,162
Kiss,Vinícius De Moraes - Sem Limite,Por Que Será,162
London Symphony Orchestra & Sir Charles Mackerras,Serie Sem Limite (Disc 2),Preciso Aprender A Ser Só,162
Nando Reis,Chill: Brazil (Disc 2),Santo Antonio,162
Xis,Ten,Oceans,162
Black Sabbath,BackBeat Soundtrack,Slow Down,163
Chris Cornell,In Step,Scratch-N-Sniff,163
Corinne Bailey Rae,From The Muddy Banks Of The Wishkah [Live],Negative Creep,163
David Coverdale,"Chronicle, Vol. 2",Good Golly Miss Molly,163
David Coverdale,"Chronicle, Vol. 2",Molina,163
Frank Zappa & Captain Beefheart,Minha Historia,Carolina,163
Incognito,American Idiot,Are We The Waiting,163
Les Arts Florissants & William Christie,House of Pain,Life Goes On,163
Queen,Up An' Atom,Overtime,163
Spyro Gyra,Vozes do MPB,Pela Luz dos Olhos Teus (Miúcha e Tom Jobim),163
Stereo Maracana,Californication,Porcelain,163
Vinícius De Moraes,The Cream Of Clapton,Badge,163
"Berliner Philharmoniker, Claudio Abbado & Sabine Meyer","Hot Rocks, 1964-1971 (Disc 1)",As Tears Go By,164
"Berliner Philharmoniker, Claudio Abbado & Sabine Meyer","Hot Rocks, 1964-1971 (Disc 1)",Heart Of Stone,164
Charlie Brown Jr.,Greatest Hits I,Crazy Little Thing Called Love,164
Chris Cornell,In Step,Let Me Love You Baby,164
Christina Aguilera featuring BigElf,Ace Of Spades,Fire Fire,164
Green Day,"Chronicle, Vol. 1",Down On The Corner,164
Pink Floyd,Are You Experienced?,Fire,164
Sir Georg Solti & Wiener Philharmoniker,My Generation - The Very Best Of The Who,Pictures Of Lily,164
DJ Dolores & Orchestra Santa Massa,Raul Seixas,Que Luz É Essa,165
Edo de Waart & San Francisco Symphony,Diver Down,Big Bad Bill (Is Sweet William Now),165
Nando Reis,Chill: Brazil (Disc 2),Alice,165
Page & Plant,Sex Machine,Please Please Please,165
Rodox,Os Cães Ladram Mas A Caravana Não Pára,100% HardCore,165
Scholars Baroque Ensemble,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",Lil' Evil,165
Bebel Gilberto,Axé Bahia 2001,Latinha de Cerveja,166
Chico Science & Nação Zumbi,Body Count,Body Count Anthem,166
Cláudio Zoli,The Best Of Buddy Guy - The Millenium Collection,Keep It To Myself (Aka Keep It To Yourself),166
Ed Motta,Greatest Kiss,Beth,166
Page & Plant,Sex Machine,Think,166
Soundgarden,Led Zeppelin I,Good Times Bad Times,166
Titãs,Seek And Shall Find: More Of The Best (1963-1981),Loving You Is Sweeter Than Ever,166
Vinícius De Moraes & Baden Powell,Elis Regina-Minha História,Atrás da Porta,166
"Berliner Philharmoniker, Claudio Abbado & Sabine Meyer","Hot Rocks, 1964-1971 (Disc 1)",Mother's Little Helper,167
Fernanda Porto,International Superhits,Maria,167
Frank Zappa & Captain Beefheart,Minha Historia,Essa Moça Ta Diferente,167
Frank Zappa & Captain Beefheart,Minha Historia,O Que Será (À Flor Da Terra),167
Page & Plant,Sex Machine,I Got You (I Feel Good),167
Page & Plant,Sex Machine,"Say It Loud, I'm Black And I'm Proud Pt.1",167
The King's Singers,Vinicius De Moraes,"Oi, La",167
Vinícius De Moraes,The Cream Of Clapton,Strange Brew,167
Barão Vermelho,The Essential Miles Davis [Disc 1],Generique,168
Berliner Philharmoniker & Herbert Von Karajan,Ao Vivo [IMPORT],Lua de Ogum,168
Charlie Brown Jr.,Greatest Hits I,Flash,168
Christina Aguilera featuring BigElf,Ace Of Spades,The Hammer,168
Deep Purple,Come Taste The Band,Lady Luck,168
Dread Zeppelin,Miles Ahead,The Meaning Of The Blues,168
Fernanda Porto,International Superhits,Minority,168
Kiss,Vinícius De Moraes - Sem Limite,Onde Anda Você,168
Page & Plant,Sex Machine,It's A Man's Man's Man's World,168
Pink Floyd,Are You Experienced?,Remember,168
Audioslave,Warner 25 Anos,Angela,169
Audioslave,Warner 25 Anos,Por Causa De Você,169
"Britten Sinfonia, Ivor Bolton & Lesley Garrett",Tangents,Babylon,169
Christina Aguilera featuring BigElf,Ace Of Spades,Ace Of Spades,169
Christina Aguilera featuring BigElf,Ace Of Spades,Please Don't Touch,169
Def Leppard,Deixa Entrar,Forró De Tóquio,169
Elis Regina,Meus Momentos,Sangrando,169
Falamansa,My Way: The Best Of Frank Sinatra [Disc 1],"Bad, Bad Leroy Brown",169
Frank Zappa & Captain Beefheart,Minha Historia,"Alegria, Alegria",169
Frank Zappa & Captain Beefheart,Minha Historia,Trocando Em Miúdos,169
Nega Gizza,Vs.,Animal,169
Charlie Brown Jr.,Greatest Hits I,Seven Seas Of Rhye,170
Fernanda Porto,International Superhits,J.A.R. (Jason Andrew Relva),170
Fernanda Porto,International Superhits,Nice Guys Finish Last,170
"Herbert Von Karajan, Mirella Freni & Wiener Philharmoniker",Volume Dois,Sonifera Ilha,170
Jack's Mannequin & Mick Fleetwood,The Beast Live,Wrathchild,170
Kiss,Vinícius De Moraes - Sem Limite,Samba Da Volta,170
Les Arts Florissants & William Christie,House of Pain,Come And Get Some Of This,170
Les Arts Florissants & William Christie,House of Pain,One For The Road,170
Milton Nascimento,Minha História,Desculpe Babe,170
Nando Reis,Chill: Brazil (Disc 2),Tanto Tempo,170
Nega Gizza,Vs.,Blood,170
Raul Seixas,Unplugged [Live],Beth,170
Vinícius De Moraes & Baden Powell,Elis Regina-Minha História,Casa no Campo,170
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",Serie Sem Limite (Disc 1),Compadre,171
Baby Consuelo,Bongo Fury,Sam With The Showing Scalp Flat Top,171
Falamansa,My Way: The Best Of Frank Sinatra [Disc 1],For Once In My Life,171
Fernanda Porto,International Superhits,Hitchin' A Ride,171
Pink Floyd,Are You Experienced?,Purple Haze,171
Rodox,Os Cães Ladram Mas A Caravana Não Pára,O Bicho Tá Pregando,171
Academy of St. Martin in the Fields & Sir Neville Marriner,The Doors,End Of The Night,172
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",Serie Sem Limite (Disc 1),Não Vou Ficar,172
Charlie Brown Jr.,Greatest Hits I,You're My Best Friend,172
Frank Zappa & Captain Beefheart,Minha Historia,Tatuagem,172
Instituto,The Best Of R.E.M.: The IRS Years,Fall On Me,172
Martin Roscoe,Duos II,Muita Bobeira,172
Orchestre Révolutionnaire et Romantique & John Eliot Gardiner,Voodoo Lounge,New Faces,172
Page & Plant,Sex Machine,Cold Sweat,172
Raul Seixas,Unplugged [Live],Comin' Home,172
Rodox,Os Cães Ladram Mas A Caravana Não Pára,Queimando Tudo,172
Spyro Gyra,Vozes do MPB,Marina (Dorival Caymmi),172
The Postal Service,Tribute,Iron Man,172
Tim Maia,Barulhinho Bom,Cérebro Eletrônico,172
Titãs,Seek And Shall Find: More Of The Best (1963-1981),I Wish It Would Rain,172
Azymuth,Acústico MTV [Live],Pensamento,173
Chico Buarque,Black Sabbath Vol. 4 (Remaster),Laguna Sunrise,173
Chico Science & Nação Zumbi,Body Count,KKK Bitch,173
Ed Motta,Greatest Kiss,Rock And Roll All Nite,173
Falamansa,My Way: The Best Of Frank Sinatra [Disc 1],The Best Is Yet To Come,173
The Cult,A TempestadeTempestade Ou O Livro Dos Dias,Quando Você Voltar,173
Def Leppard,Deixa Entrar,Desaforo,174
Edo de Waart & San Francisco Symphony,Diver Down,(Oh) Pretty Woman,174
Falamansa,My Way: The Best Of Frank Sinatra [Disc 1],Summer Love,174
