Artist,Album,Track,Song_Length_Sec
Stereo Maracana,Californication,Californication,321
The Doors,Mais Do Mesmo,Dezesseis,321
BackBeat,Plays Metallica By Four Cellos,The Unforgiven,322
Barry Wordsworth & BBC Concert Orchestra,Acústico,Comida,322
Foo Fighters,Roda De Funk,Balada Da Paula,322
James Brown,Use Your Illusion I,The Garden,322
James Levine,Pop,If God Will Send His Angels,322
Pearl Jam,The Return Of The Space Cowboy,Journey To Arnhemland,322
Santana Feat. Dave Matthews,Fireball,The Mule,322
Santana Feat. Eric Clapton,Vault: Def Leppard's Greatest Hits,Armageddon It,322
The Postal Service,Tribute,Crazy Train,322
Velvet Revolver,ReLoad,Better Than You,322
Alanis Morissette,Let There Be Rock,Whole Lotta Rosie,323
Bruce Dickinson,Alcohol Fueled Brewtality Live! [Disc 1],Intro/ Low Down,323
Hermeto Pascoal,The Best of Ed Motta,Agora Que O Dia Acordou,323
Seu Jorge,Blood Sugar Sex Magik,Funky Monks,323
The Cult,A TempestadeTempestade Ou O Livro Dos Dias,Dezesseis,323
The Cult,A TempestadeTempestade Ou O Livro Dos Dias,Leila,323
Alberto Turco & Nova Schola Gregoriana,Core,Piece Of Pie,324
Cake,Retrospective I (1974-1980),Freewill,324
Foo Fighters,Roda De Funk,Dujji,324
Gustav Mahler,Zooropa,Dirty Day,324
Heroes,Black Album,Sad But True,324
Joe Satriani,A Real Dead One,Iron Maiden,324
Michael Tilson Thomas & San Francisco Symphony,Van Halen III,From Afar,324
Otto,New Adventures In Hi-Fi,E-Bow The Letter,324
Vinícius E Qurteto Em Cy,Unplugged,A Novidade,324
Wilhelm Kempff,The Singles,The Call Up,324
Zeca Pagodinho,St. Anger,Dirty Window,324
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",20th Century Masters - The Millennium Collection: The Best of Scorpions,Believe in Love,325
Alanis Morissette,Let There Be Rock,Problem Child,325
Jota Quest,A Real Live One,The Evil That Men Do,325
Motörhead,Piece Of Mind,Die With Your Boots On,325
Royal Philharmonic Orchestra & Sir Thomas Beecham,No Security,Saint Of Me,325
The Cult,A TempestadeTempestade Ou O Livro Dos Dias,Aloha,325
Jack's Mannequin & Mick Fleetwood,The Beast Live,Remember Tomorrow,326
Otto,New Adventures In Hi-Fi,New Test Leper,326
R.E.M. Feat. Kate Pearson,Jorge Ben Jor 25 Anos,Selassiê,326
Scholars Baroque Ensemble,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",Love,326
Vinícius E Odette Lara,Album Of The Year,Helpless,326
Gene Krupa,Djavan Ao Vivo - Vol. 02,Um Amor Puro,327
Kent Nagano and Orchestre de l'Opéra de Lyon,Realize,Distance,327
Michael Tilson Thomas & San Francisco Symphony,Van Halen III,Dirty Water Dog,327
Orchestre Révolutionnaire et Romantique & John Eliot Gardiner,Voodoo Lounge,Out Of Tears,327
Sandra De Sá,Sambas De Enredo 2001,Beija-Flor,327
Toquinho & Vinícius,Djavan Ao Vivo - Vol. 1,Um Amor Puro,327
Zeca Pagodinho,St. Anger,Sweet Amber,327
James Brown,Use Your Illusion I,Bad Obsession,328
Led Zeppelin,Sozinho Remix Ao Vivo,Sozinho (Caêdrum 'n' Bass),328
Lenny Kravitz,Iron Maiden,03 - Remember Tomorrow,328
Santana Feat. The Project G&B,Slaves And Masters,King Of Dreams,328
The 12 Cellists of The Berlin Philharmonic,Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,Carimbo,328
The Flaming Lips,Original Soundtracks 1,Your Blue Room,328
UB40,Load,2 X 4,328
UB40,Load,King Nothing,328
Vinícius E Qurteto Em Cy,Unplugged,Lonely Stranger,328
Billy Cobham,Audioslave,Bring'em Back Alive,329
Jackson Browne,Compositores,Menino De Rua,329
Jorge Ben,Supernatural,Migra,329
Pearl Jam,The Return Of The Space Cowboy,Mr. Moon,329
Scorpions,Pearl Jam,Come Back,329
Skank,In Through The Out Door,I'm Gonna Crawl,329
Alice In Chains,Big Ones,Janie's Got A Gun,330
Chicago Symphony Orchestra & Fritz Reiner,All That You Can't Leave Behind,Grace,330
Chicago Symphony Orchestra & Fritz Reiner,All That You Can't Leave Behind,New York,330
"Edson, DJ Marky & DJ Patife Featuring Fernanda Porto",The Essential Miles Davis [Disc 2],E.S.P.,330
JET,Blue Moods,Gypsy,330
Jackson Browne,Compositores,Às Vezes,330
Michael Tilson Thomas & San Francisco Symphony,Van Halen III,One I Want,330
Ozzy Osbourne,Virtual XI,Como Estais Amigos,330
Rush,Coda,Wearing And Tearing,330
Sandra De Sá,Sambas De Enredo 2001,União Da Ilha,330
Sergei Prokofiev & Yuri Temirkanov,Achtung Baby,Ultraviolet (Light My Way),330
Simply Red,Houses Of The Holy,The Song Remains The Same,330
The Flaming Lips,Original Soundtracks 1,United Colours,330
Toquinho & Vinícius,Djavan Ao Vivo - Vol. 1,Samurai,330
Van Halen,Master Of Puppets,Damage Inc.,330
Alanis Morissette,Let There Be Rock,Go Down,331
Chico Buarque,Black Sabbath Vol. 4 (Remaster),Snowblind,331
Michael Tilson Thomas & San Francisco Symphony,Van Halen III,Fire in the Hole,331
Paul D'Ianno,Synkronized,Canned Heat,331
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",20th Century Masters - The Millennium Collection: The Best of Scorpions,The Zoo,332
Baby Consuelo,Bongo Fury,Muffin Man,332
Berliner Philharmoniker & Herbert Von Karajan,Ao Vivo [IMPORT],Verdade,332
Heroes,Black Album,Enter Sandman,332
Lenny Kravitz,Iron Maiden,07 - Strange World,332
Men At Work,No Prayer For The Dying,Mother Russia,332
"Academy of St. Martin in the Fields, Sir Neville Marriner & William Bennett",War,Surrender,333
Alberto Turco & Nova Schola Gregoriana,Core,Creep,333
Otto,New Adventures In Hi-Fi,Be Mine,333
Philharmonia Orchestra & Sir Neville Marriner,Speak of the Devil,"Sabbath, Bloody Sabbath",333
Billy Cobham,Audioslave,I am the Highway,334
"Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos",UB40 The Best Of - Volume Two [UK],I Would Do For You,334
Page & Plant,Sex Machine,I'm Real,334
Sandra De Sá,Sambas De Enredo 2001,Império Serrano,334
Santana Feat. Eagle-Eye Cherry,The Battle Rages On,Ramshackle Man,334
Stevie Ray Vaughan & Double Trouble,Led Zeppelin II,Whole Lotta Love,334
The Postal Service,Tribute,Goodbye To Romance,334
"Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker",Contraband,You Got No Right,335
Jaguares,Walking Into Clarksdale,House Of Love,335
Legião Urbana,Fear Of The Dark,Fear Is The Key,335
Philharmonia Orchestra & Sir Neville Marriner,Speak of the Devil,N.I.B.,335
Raimundos,Living After Midnight,Turbo Lover,335
"Academy of St. Martin in the Fields, Sir Neville Marriner & William Bennett",War,New Year's Day,336
Chris Cornell,In Step,Wall Of Denial,336
Creedence Clearwater Revival,King For A Day Fool For A Lifetime,Just A Man,336
Jaguares,Walking Into Clarksdale,Most High,336
Jamiroquai,Use Your Illusion II,Knockin' On Heaven's Door,336
Jimi Hendrix,A Matter of Life and Death,Out of the Shadows,336
Kid Abelha,Physical Graffiti [Disc 1],Trampled Under Foot,336
Marisa Monte,Live At Donington 1992 (Disc 1),Wasting Love,336
The King's Singers,Vinicius De Moraes,"Vinicius, Poeta Do Encontro",336
Berliner Philharmoniker & Hans Rosbaud,Rattle And Hum,Bullet The Blue Sky,337
Black Eyed Peas,Arquivo Os Paralamas Do Sucesso,Será Que Vai Chover?,337
"Hilary Hahn, Jeffrey Kahane, Los Angeles Chamber Orchestra & Margaret Batjer",Live [Disc 2],Remedy,337
Joe Satriani,A Real Dead One,2 Minutes To Midnight,337
Kid Abelha,Physical Graffiti [Disc 1],The Rover,337
Os Paralamas Do Sucesso,The X Factor,2 A.M.,337
Planet Hemp,Surfing with the Alien (Remastered),Echo,337
Royal Philharmonic Orchestra & Sir Thomas Beecham,No Security,Thief In The Night,337
Stone Temple Pilots,Led Zeppelin III,That's The Way,337
The Police,Greatest Hits,Crying In The Rain,337
Toquinho & Vinícius,Djavan Ao Vivo - Vol. 1,Nem Um Dia,337
Antal Doráti & London Symphony Orchestra,"The Best Of Van Halen, Vol. I",When It's Love,338
Gene Krupa,Djavan Ao Vivo - Vol. 02,Boa Noite,338
Marvin Gaye,Live At Donington 1992 (Disc 2),2 Minutes To Midnight,338
R.E.M. Feat. Kate Pearson,Jorge Ben Jor 25 Anos,Que Maravilha,338
Sandra De Sá,Sambas De Enredo 2001,Unidos Da Tijuca,338
Sir Georg Solti & Wiener Philharmoniker,My Generation - The Very Best Of The Who,You Better You Bet,338
Temple of the Dog,Morning Dance,Heliopolis,338
A Cor Do Som,MK III The Final Concerts [Disc 1],Gypsy,339
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",20th Century Masters - The Millennium Collection: The Best of Scorpions,Loving You Sunday Morning,339
Legião Urbana,Fear Of The Dark,Weekend Warrior,339
Sandra De Sá,Sambas De Enredo 2001,Imperatriz,339
Cássia Eller,The Real Thing,Woodpecker From Mars,340
Los Lonely Boys,Motley Crue Greatest Hits,Glitter,340
Nirvana,Seventh Son of a Seventh Son,Moonchild,340
Paul D'Ianno,Synkronized,Destitute Illusions,340
Philharmonia Orchestra & Sir Neville Marriner,Speak of the Devil,Sympton of the Universe,340
Santana Feat. Rob Thomas,Machine Head,Smoke On The Water,340
The Flaming Lips,Original Soundtracks 1,Miss Sarajevo,340
Cidade Negra,Chemical Wedding,Machine Men,341
"Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos",UB40 The Best Of - Volume Two [UK],Bring Me Your Cup,341
Jamiroquai,Use Your Illusion II,Get In The Ring,341
Lost,Garage Inc. (Disc 2),Breadfan,341
O Terço,Somewhere in Time,Sea of Madness,341
Paul D'Ianno,Synkronized,Black Capricorn Day,341
Santana Feat. Everlast,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,Space Trucking,341
Xis,Ten,Alive,341
Accept,Balls to the Wall,Balls to the Wall,342
David Coverdale,"Chronicle, Vol. 2",Born To Move,342
Faith No More,The Colour And The Shape,New Way Home,342
Michael Tilson Thomas & San Francisco Symphony,Van Halen III,Ballot or the Bullet,342
Michael Tilson Thomas & San Francisco Symphony,Van Halen III,Josephina,342
Michele Campanella,Temple of the Dog,Times of Trouble,342
Santana Feat. The Project G&B,Slaves And Masters,The Cut Runs Deep,342
The Police,Greatest Hits,Let Love Rule,342
AC/DC,For Those About To Rock We Salute You,For Those About To Rock (We Salute You),343
Billy Cobham,Audioslave,Shadow on the Sun,343
"Britten Sinfonia, Ivor Bolton & Lesley Garrett",Tangents,Sister Awake,343
"Britten Sinfonia, Ivor Bolton & Lesley Garrett",Tangents,The River (Remix),343
"Chicago Symphony Chorus, Chicago Symphony Orchestra & Sir Georg Solti",Transmission,Aftermath,343
Jamiroquai,Use Your Illusion II,You Could Be Mine,343
O Rappa,Greatest Hits II,Radio GA GA,343
R.E.M. Feat. Kate Pearson,Jorge Ben Jor 25 Anos,Salve Simpatia,343
Red Hot Chili Peppers,BBC Sessions [Disc 2] [Live],That's The Way,343
Regina Spektor,Live On Two Legs [Live],Off He Goes,343
Xis,Ten,Black,343
Apocalyptica,Facelift,Confusion,344
O Terço,Somewhere in Time,Stranger in a Strange Land,344
Os Cariocas,Into The Light,Love Is Blind,344
Sandra De Sá,Sambas De Enredo 2001,Viradouro,344
The Postal Service,Tribute,Mr. Crowley,344
Barão Vermelho,The Essential Miles Davis [Disc 1],Compulsion,345
Jaguares,Walking Into Clarksdale,When I Was A Child,345
The Office,...And Justice For All,Harvester Of Sorrow,345
Zeca Pagodinho,St. Anger,My World,345
Miles Davis,Outbreak,"Baltimore, DC",346
Santana Feat. Eric Clapton,Vault: Def Leppard's Greatest Hits,Love Bites,346
The Tea Party,Lulu Santos - RCA 100 Anos De Música - Álbum 02,Fullgás,346
"Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra",How To Dismantle An Atomic Bomb,City Of Blinding Lights,347
Jorge Ben,Supernatural,Love Of My Life,347
Jota Quest,A Real Live One,Wasting Love,347
Nicolaus Esterhazy Sinfonia,A-Sides,Blow Up The Outside World,347
Os Cariocas,Into The Light,Don't You Cry,347
Toquinho & Vinícius,Djavan Ao Vivo - Vol. 1,A Carta,347
Van Halen,Master Of Puppets,Leper Messiah,347
"Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker",Contraband,Loving The Alien,348
Queen,Up An' Atom,Blue Rythm Fantasy,348
Apocalyptica,Facelift,Sea Of Sorrow,349
Berliner Philharmoniker & Hans Rosbaud,Rattle And Hum,Silver And Gold,349
James Levine,Pop,Mofo,349
Santana Feat. The Project G&B,Slaves And Masters,Fortuneteller,349
Sergei Prokofiev & Yuri Temirkanov,Achtung Baby,So Cruel,349
The Postal Service,Tribute,Relvelation (Mother Earth),349
BackBeat,Plays Metallica By Four Cellos,Welcome Home (Sanitarium),350
Chico Buarque,Black Sabbath Vol. 4 (Remaster),Under The Sun/Every Day Comes and Goes,350
Chico Science & Nação Zumbi,Body Count,There Goes The Neighborhood,350
Judas Priest,Dance Of Death,Montsegur,350
Legião Urbana,Fear Of The Dark,Wasting Love,350
Zeca Pagodinho,St. Anger,Frantic,350
Maurizio Pollini,The Best Of 1980-1990,Bad,351
Mötley Crüe,Rock In Rio [CD2],Iron Maiden,351
Sandra De Sá,Sambas De Enredo 2001,Caprichosos,351
Santana Feat. Eagle-Eye Cherry,The Battle Rages On,Time To Kill,351
Smashing Pumpkins,IV,The Battle Of Evermore,351
UB40,Load,Thorn Within,351
Dennis Chambers,In Your Honor [Disc 1],End Over End,352
Joe Satriani,A Real Dead One,Remember Tomorrow,352
Nicolaus Esterhazy Sinfonia,A-Sides,Jesus Christ Pose,352
Aaron Goldberg,Rotten Apples: Greatest Hits,Rhinocerous,353
Berliner Philharmoniker & Hans Rosbaud,Rattle And Hum,I Still Haven't Found What I'm Looking for,353
Jorge Ben,Supernatural,(Da Le) Yaleo,353
The Black Crowes,The Song Remains The Same (Disc 1),The Song Remains The Same,353
The Police,Greatest Hits,Mystic Man,353
Frank Zappa & Captain Beefheart,Minha Historia,Fora Da Ordem,354
Jorge Ben,Supernatural,Do You Like The Way,354
Pearl Jam,The Return Of The Space Cowboy,Light Years,354
Philharmonia Orchestra & Sir Neville Marriner,Speak of the Devil,Sweet Leaf,354
Santana Feat. Lauryn Hill & Cee-Lo,Purpendicular,Hey Cisco,354
Def Leppard,Deixa Entrar,Avisa,355
JET,Blue Moods,Thinking 'Bout Tomorrow,355
R.E.M. Feat. Kate Pearson,Jorge Ben Jor 25 Anos,Alcohol,355
Santana Feat. Eric Clapton,Vault: Def Leppard's Greatest Hits,Hysteria,355
Alice In Chains,Big Ones,Amazing,356
Godsmack,Quanta Gente Veio ver--Bônus De Carnaval,Doce De Carnaval (Candy All),356
Iron Maiden,Appetite for Destruction,Sweet Child O' Mine,356
Itzhak Perlman,The Best of Beethoven,"Symphony No. 3 in E-flat major, Op. 55, ""Eroica"" - Scherzo: Allegro Vivace",356
Santana Feat. Eagle-Eye Cherry,The Battle Rages On,The Battle Rages On,356
Skank,In Through The Out Door,All My Love,356
The Who,Misplaced Childhood,Bitter Suite: Brief Encounter / Lost Weekend / Blue Angel,356
Barão Vermelho,The Essential Miles Davis [Disc 1],'Round Midnight,357
Funk Como Le Gusta,Quanta Gente Veio Ver (Live),Quanta (Live),357
Os Paralamas Do Sucesso,The X Factor,Blood On The World's Hands,357
The Postal Service,Tribute,Children Of The Grave,357
Charlie Brown Jr.,Greatest Hits I,Bohemian Rhapsody,358
Baby Consuelo,Bongo Fury,Carolina Hard-Core Ecstasy,359
Bruce Dickinson,Alcohol Fueled Brewtality Live! [Disc 1],World Of Trouble,359
Cidade Negra,Chemical Wedding,Trupets Of Jericho,359
"Hilary Hahn, Jeffrey Kahane, Los Angeles Chamber Orchestra & Margaret Batjer",Live [Disc 2],Black Moon Creeping,359
Motörhead & Girlschool,Powerslave,2 Minutes To Midnight,359
Nega Gizza,Vs.,W.M.A.,359
Os Cariocas,Into The Light,Too Many Tears,359
Santana Feat. Lauryn Hill & Cee-Lo,Purpendicular,Loosen My Strings,359
The 12 Cellists of The Berlin Philharmonic,Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,Prostituta,359
Cássia Eller,The Real Thing,Zombie Eaters,360
Miles Davis,Outbreak,Talkin Loud and Saying Nothin,360
"Hilary Hahn, Jeffrey Kahane, Los Angeles Chamber Orchestra & Margaret Batjer",Live [Disc 2],She Talks To Angels,361
JET,Blue Moods,Colibri,361
Olodum,The Number of The Beast,The Prisoner,361
Battlestar Galactica,The Best Of Men At Work,No Sign of Yesterday,362
Nicolaus Esterhazy Sinfonia,A-Sides,Hands All Over,362
Michael Tilson Thomas & San Francisco Symphony,Van Halen III,How Many Say I,363
Alberto Turco & Nova Schola Gregoriana,Core,Sin,364
Philharmonia Orchestra & Sir Neville Marriner,Speak of the Devil,Black Sabbath,364
Bruce Dickinson,Alcohol Fueled Brewtality Live! [Disc 1],The Begining... At Last,365
Passengers,Emergency On Planet Earth,Too Young To Die,365
Royal Philharmonic Orchestra & Sir Thomas Beecham,No Security,Memory Motel,365
Velvet Revolver,ReLoad,Prince Charming,365
Alanis Morissette,Let There Be Rock,Let There Be Rock,366
Antal Doráti & London Symphony Orchestra,"The Best Of Van Halen, Vol. I",Me Wise Magic,366
Audioslave,Warner 25 Anos,O Boto (Bôto),366
Kent Nagano and Orchestre de l'Opéra de Lyon,Realize,One Step Beyond,366
Luciana Souza/Romero Lubambo,Judas 0: B-Sides and Rarities,Rock On,366
Marillion,Live After Death,2 Minutes To Midnight,366
Motörhead & Girlschool,Powerslave,Duelists,366
Mônica Marianno,Rock In Rio [CD1],Brave New World,366
Pedro Luís & A Parede,Garage Inc. (Disc 1),Turn The Page,366
The Doors,Mais Do Mesmo,Vento No Litoral,366
The Police,Greatest Hits,Equal Rights Downpresser Man,366
The Who,Misplaced Childhood,Heart Of Lothian: Wide Boy / Curtain Call,366
JET,Blue Moods,Jacob's Ladder,367
R.E.M. Feat. Kate Pearson,Jorge Ben Jor 25 Anos,Os Alquimistas Estão Chegando,367
The Police,Greatest Hits,Slow An' Easy,367
"Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker",Live [Disc 1],Cursed Diamonds,368
Caetano Veloso,Black Sabbath,N.I.B.,368
Miles Davis,Outbreak,In Time,368
Miles Davis,Outbreak,Paris On Mine,368
Santana Feat. Everlast,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,Black Night,368
Santana Feat. Rob Thomas,Machine Head,Highway Star,368
Scholars Baroque Ensemble,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",Sun King,368
Alanis Morissette,Let There Be Rock,Overdose,369
BackBeat,Plays Metallica By Four Cellos,Wherever I May Roam,369
Frank Zappa & Captain Beefheart,Minha Historia,Vai Passar,369
Motörhead,Piece Of Mind,Where Eagles Dare,369
Nirvana,Seventh Son of a Seventh Son,Infinite Dreams,369
Raul Seixas,Unplugged [Live],I Still Love You,369
Sabotage E Instituto,By The Way,Venice Queen,369
Deep Purple,Come Taste The Band,This Time Around / Owed to 'G' [Instrumental],370
Judas Priest,Dance Of Death,Age Of Innocence,370
Chico Science & Nação Zumbi,Body Count,Momma's Gotta Die Tonight,371
"Hilary Hahn, Jeffrey Kahane, Los Angeles Chamber Orchestra & Margaret Batjer",Live [Disc 2],High Head Blues,371
Marillion,Live After Death,Revelations,371
Nando Reis,Chill: Brazil (Disc 2),Only A Dream In Rio,371
"Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker",Live [Disc 1],Miracle To Me,372
Lulu Santos,Killers,Prodigal Son,372
Skank,In Through The Out Door,Fool In The Rain,372
Velvet Revolver,ReLoad,Carpe Diem Baby,372
Jaguares,Walking Into Clarksdale,When The World Was Young,373
Jorge Vercilo,BBC Sessions [Disc 1] [Live],Whole Lotta Love,373
BackBeat,Plays Metallica By Four Cellos,Harvester Of Sorrow,374
Frank Zappa & Captain Beefheart,Minha Historia,O Estrangeiro,374
Aerosmith,Restless and Wild,Princess of the Dawn,375
Iron Maiden,Appetite for Destruction,Rocket Queen,375
Orchestre Révolutionnaire et Romantique & John Eliot Gardiner,Voodoo Lounge,Thru And Thru,375
Marvin Gaye,Live At Donington 1992 (Disc 2),Bring Your Daughter... To The Slaughter...,376
Royal Philharmonic Orchestra & Sir Thomas Beecham,No Security,Sister Morphine,376
"Terry Bozzio, Tony Levin & Steve Stevens",Presence,Nobody's Fault But Mine,376
JET,Blue Moods,Dark Side Of The Cog,377
Ozzy Osbourne,Virtual XI,When Two Worlds Collide,377
Regina Spektor,Live On Two Legs [Live],F*Ckin' Up,377
"Edson, DJ Marky & DJ Patife Featuring Fernanda Porto",The Essential Miles Davis [Disc 2],Portia,378
Jorge Ben,Supernatural,Primavera,378
João Suplicy,Brave New World,Brave New World,378
Vinícius E Qurteto Em Cy,Unplugged,Running On Faith,378
JET,Blue Moods,Millenium,379
Marillion,Live After Death,Acacia Avenue,379
Stevie Ray Vaughan & Double Trouble,Led Zeppelin II,The Lemon Song,379
Jorge Vercilo,BBC Sessions [Disc 1] [Live],I Can't Quit You Baby(2),380
Os Paralamas Do Sucesso,The X Factor,The Aftermath,380
Pedro Luís & A Parede,Garage Inc. (Disc 1),Sabbra Cadabra,380
R.E.M. Feat. Kate Pearson,Jorge Ben Jor 25 Anos,Santa Clara Clareou,380
Alice In Chains,Big Ones,Livin' On The Edge,381
Berliner Philharmoniker & Hans Rosbaud,Rattle And Hum,Hawkmoon 269,382
Caetano Veloso,Black Sabbath,Black Sabbath,382
Milton Nascimento,Minha História,Meu Refrigerador Não Funciona,382
Pearl Jam,The Return Of The Space Cowboy,Manifest Destiny,382
Royal Philharmonic Orchestra & Sir Thomas Beecham,No Security,Gimmie Shelters,382
Frank Zappa & Captain Beefheart,Minha Historia,Construção / Deus Lhe Pague,383
Passengers,Emergency On Planet Earth,Music Of The Wind,383
The Flaming Lips,Original Soundtracks 1,Always Forever Now,383
Berliner Philharmoniker & Hans Rosbaud,Rattle And Hum,Love Rescue Me,384
Michele Campanella,Temple of the Dog,Say Hello 2 Heaven,384
Pearl Jam,The Return Of The Space Cowboy,Morning Glory,384
"Terry Bozzio, Tony Levin & Steve Stevens",Presence,For Your Life,384
David Coverdale,"Chronicle, Vol. 2",Pagan Baby,385
João Suplicy,Brave New World,Out Of The Silent Planet,385
Pearl Jam,The Return Of The Space Cowboy,Space Cowboy,385
Santana Feat. Dave Matthews,Fireball,No One Came,385
The Office,...And Justice For All,Eye Of The Beholder,385
Mônica Marianno,Rock In Rio [CD1],2 Minutes To Midnight,386
Pedro Luís E A Parede,News Of The World,It's Late,386
Soundgarden,Led Zeppelin I,Dazed and Confused,386
U2,Kill 'Em All,No Remorse,386
Apocalyptica,Facelift,"Love, Hate, Love",387
Heroes,Black Album,The Unforgiven,387
O Rappa,Greatest Hits II,Innuendo,387
Van Halen,Master Of Puppets,Welcome Home (Sanitarium),387
Heroes,Black Album,Nothing Else Matters,388
Soundgarden,Led Zeppelin I,You Shook Me,388
"Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker",Live [Disc 1],Sometimes Salvation,389
Nando Reis,Chill: Brazil (Disc 2),Só Tinha De Ser Com Você,389
R.E.M. Feat. Kate Pearson,Jorge Ben Jor 25 Anos,Charles Anjo 45,389
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",20th Century Masters - The Millennium Collection: The Best of Scorpions,Still Loving You,390
Berliner Philharmoniker & Hans Rosbaud,Rattle And Hum,All I Want Is You,390
Michael Tilson Thomas & San Francisco Symphony,Van Halen III,Without You,390
Gustavo & Andres Veiga & Salazar,Dark Side Of The Moon,Money,391
Judas Priest,Dance Of Death,Face In The Sand,391
O Terço,Somewhere in Time,The Loneliness of the Long Dis,391
Os Cariocas,Into The Light,Living On Love,391
The Police,Greatest Hits,Looking For Love,391
Chico Science & Nação Zumbi,Body Count,The Winner Loses,392
Gustav Mahler,Zooropa,Zooropa,392
Kiss,Vinícius De Moraes - Sem Limite,Pot-Pourri N.º 4,392
Philharmonia Orchestra & Sir Neville Marriner,Speak of the Devil,Fairies Wear Boots,392
Santana Feat. Eagle-Eye Cherry,The Battle Rages On,Anya,392
Santana Feat. The Project G&B,Slaves And Masters,Wicked Ways,393
System Of A Down,Physical Graffiti [Disc 2],Ten Years Gone,393
Creedence Clearwater Revival,King For A Day Fool For A Lifetime,King For A Day,395
Olodum,The Number of The Beast,22 Acacia Avenue,395
The Office,...And Justice For All,The Shortest Straw,395
Velvet Revolver,ReLoad,The Unforgiven II,395
"Britten Sinfonia, Ivor Bolton & Lesley Garrett",Tangents,Save Me (Remix),396
JET,Blue Moods,Deep Waters,396
Van Halen,Master Of Puppets,The Thing That Should Not Be,396
Whitesnake,Ride The Lightning,Creeping Death,396
Pedro Luís & A Parede,Garage Inc. (Disc 1),Astronomy,397
Whitesnake,Ride The Lightning,Ride The Lightning,397
Lost,Garage Inc. (Disc 2),Helpless,398
Red Hot Chili Peppers,BBC Sessions [Disc 2] [Live],Thank You,398
The Police,Greatest Hits,Still Of The Night,398
UB40,Load,The House Jack Built,398
"Vinicius, Toquinho & Quarteto Em Cy",Angel Dust,Jizzlobber,398
Luciana Souza/Romero Lubambo,Judas 0: B-Sides and Rarities,Soot & Stars,399
Os Paralamas Do Sucesso,The X Factor,The Edge Of Darkness,399
Frank Zappa & Captain Beefheart,Minha Historia,Terra,401
Jorge Vercilo,BBC Sessions [Disc 1] [Live],Dazed and Confused,401
Soundgarden,Led Zeppelin I,Babe I'm Gonna Leave You,401
Cidade Negra,Chemical Wedding,Jerusalem,402
Lost,Garage Inc. (Disc 2),The Small Hours,403
The Office,...And Justice For All,Blackened,403
"Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker",Live [Disc 1],Girl From A Pawnshop,404
Heroes,Black Album,Wherever I May Roam,404
Milton Nascimento & Bebeto,Da Lama Ao Caos,Computadores Fazem Arte,404
Ozzy Osbourne,Virtual XI,The Educated Fool,404
Pink Floyd,Are You Experienced?,Third Stone From The Sun,404
Jaguares,Walking Into Clarksdale,Blue Train,405
Iron Maiden,Appetite for Destruction,Paradise City,406
Jota Quest,A Real Live One,Afraid To Shoot Strangers,407
Motörhead & Girlschool,Powerslave,Powerslave,407
Regina Spektor,Live On Two Legs [Live],Daughter,407
Battlestar Galactica,The Best Of Men At Work,Down by the Sea,408
Motörhead,Piece Of Mind,Revelations,408
Mônica Marianno,Rock In Rio [CD1],Ghost Of The Navigator,408
Heroes,Black Album,My Friend Of Misery,409
Kiss,Vinícius De Moraes - Sem Limite,Samba Da Bênção,409
João Suplicy,Brave New World,Ghost Of The Navigator,410
Rodox,Os Cães Ladram Mas A Caravana Não Pára,Se Liga,410
Skank,In Through The Out Door,In The Evening,410
Jimi Hendrix,A Matter of Life and Death,These Colours Don't Run,412
Marisa Monte,Live At Donington 1992 (Disc 1),Afraid To Shoot Strangers,412
Aquaman,Minas,Norwegian Wood,413
Michele Campanella,Temple of the Dog,Four Walled World,414
Santana Feat. Dave Matthews,Fireball,No No No,414
Velvet Revolver,ReLoad,Where The Wild Things Are,414
Whitesnake,Ride The Lightning,Fade To Black,414
Regina Spektor,Live On Two Legs [Live],Black,415
U2,Kill 'Em All,Seek & Destroy,415
Legião Urbana,Fear Of The Dark,Afraid To Shoot Strangers,416
Red Hot Chili Peppers,BBC Sessions [Disc 2] [Live],Since I've Been Loving You,416
Gustav Mahler,Zooropa,Lemon,418
